name,mhy_id,story,material,icon,introduction,refine,weapon_type,rarity,attr_add,getting,label
新手长枪,118,在过去的蒙德，长枪是被贵族禁止的兵器。表面上说，剑术才是高尚之人的武术修为，据说实际是因为长枪可以填补训练的差距，让缺乏兵器与练习的平民拥有抗争的武装。,"['狮牙斗士的枷锁*1', '狮牙斗士的铁链*3', '狮牙斗士的镣铐*1', '混沌装置*5', '混沌回路*6', '导能绘卷*3', '封魔绘卷*5', '精锻用魔矿*72']",https://uploadstatic.mihoyo.com/ys-obc/2020/03/20/75833613/b72786043e38c86cfca0605f587f83d5_7801496279198261696.png,暂无, 笔直得像旗杆一般的长枪，挥舞起来颇具气势。足以应付大多数情况。 ,长柄武器,一星,暂无,宝箱、初始武器、商店,weapon
训练大剑,123, 使用这种沉重、无锋双手大剑的人最清楚，兵器如何都无所谓，重要的是自己的力量。,"['凛风奔狼的始龀*1', '凛风奔狼的裂齿*3', '凛风奔狼的断牙*1', '地脉的旧枝*5', '地脉的枯叶*6', '史莱姆凝液*3', '史莱姆清*5', '精锻用魔矿*72']",https://uploadstatic.mihoyo.com/ys-obc/2020/03/19/75833613/2fc6f5c0c4a8f0547ab17cd06e2d9a14_6235791695356383945.png,暂无, 仅仅是削出了剑形的厚重铁片。在意志强韧的人手里，也有劈开磐石的力量。 ,双手剑,一星,暂无,宝箱、初始武器、商店,weapon
学徒笔记,124, 用字句记录了学习、实验笔记与咒语，用字句之间的空白记录了学徒的努力。,"['高塔孤王的破瓦*1', '高塔孤王的残垣*3', '高塔孤王的断片*1', '沉重号角*5', '黑铜号角*6', '破损的面具*3', '污秽的面具*5', '精锻用魔矿*72']",https://uploadstatic.mihoyo.com/ys-obc/2020/03/19/75833613/79bdee9646f7cd1f3e757d9f26bd3d68_8508785103108153146.png,暂无, 某个优等生留下的学习笔记，娟秀的字迹非常好看。记录了不少实用的咒语。 ,法器,一星,暂无,宝箱、初始武器、商店,weapon
猎弓,125, 传说过去在蒙德，曾经有利用弓弦奏乐，或者说利用乐器的琴弦放箭的流浪乐手。但那只不过是遥远古代的民间传说罢了。,"['凛风奔狼的始龀*1', '凛风奔狼的裂齿*3', '凛风奔狼的断牙*1', '地脉的旧枝*5', '地脉的枯叶*6', '寻宝鸦印*3', '藏银鸦印*5', '精锻用魔矿*72']",https://uploadstatic.mihoyo.com/ys-obc/2020/03/19/75833613/bf332b2c47143efb3f9c99baf63e72b3_5155894237240012716.png,暂无, 猎手演奏的音乐由两种音色组成。弓弦颤动的声音，和羽箭破空的低啸。 ,弓,一星,暂无,宝箱、初始武器、商店,weapon
银剑,126, 与民间信仰相悖，银其实不具有退魔的功效。心无杂念的执剑旅人，才是斩妖除魔的关键。,"['高塔孤王的破瓦*1', '高塔孤王的残垣*4', '高塔孤王的断片*1', '沉重号角*6', '黑铜号角*8', '牢固的箭簇*5', '锐利的箭簇*7', '精锻用魔矿*108']",https://uploadstatic.mihoyo.com/ys-obc/2020/03/19/75833613/8abcfb0e788eee0d872a8b5ab36b54c9_3740162289790477109.png,暂无, 能退魔的银剑。大家都知道，其实用料是银合金而不是纯银。 ,单手剑,二星,暂无,宝箱、商店,weapon
无锋剑,127, 旅途中总是充满了相遇与别离。始终不会抛弃旅人的忠实旅伴，恐怕只有长剑与远行的梦想了。,"['高塔孤王的破瓦*1', '高塔孤王的残垣*3', '高塔孤王的断片*1', '沉重号角*5', '黑铜号角*6', '牢固的箭簇*3', '锐利的箭簇*5', '精锻用魔矿*72']",https://uploadstatic.mihoyo.com/ys-obc/2020/03/19/75833613/fee1b4cdc14a3dce1f548a99967d0a4d_3322549636151970165.png,暂无, 少年人的梦想，踏上旅途的兴奋——如果这两种珍贵的品质还不够锋利，那就用勇气补足吧。 ,单手剑,一星,暂无,宝箱、初始武器、商店,weapon
飞天御剑,128, 剑术高超的御剑公子从绝云间顶一跃而下，不顾耳边狂啸的烈风，公子御剑穿透云层。直到断裂的声音顺着筋骨传入脑中——他才知道，有的事情剑术也无法实现。虽说当掉锃亮的钢剑，换了金创药丸。可御剑公子明白，飞天的伟大征程还未结束！,"['漆黑陨铁的一粒*2', '漆黑陨铁的一片*6', '漆黑陨铁的一角*6', '漆黑陨铁的一块*3', '脆弱的骨片*10', '结实的骨片*12', '石化的骨片*18', '新兵的徽记*6', '士官的徽记*10', '尉官的徽记*12', '精锻用魔矿*399']",https://uploadstatic.mihoyo.com/ys-obc/2020/03/19/75833613/2f7a7658839225d2180ff05943ffddc1_8130712469611269098.png,阶决心 , 精炼(1/2/3/4/5) 施放元素爆发后，提高(12%/15%/18%/21%/24%)攻击力和移动速度，持续15秒。可靠的钢剑，传说著名的「御剑公子」曾试图借助它飞天。 ,单手剑,三星,元素充能效率、攻击力、移动速度,祈愿,weapon
铁影阔剑,129, 当幼小的艾伦德林手持北风骑士瑞文伍德大剑的仿品，向着童年幻想中的蒙德旧贵族冲锋时，他未曾想到自己日后将成为威名远扬的「西风的光之狮」。更不知道幼时与他交战的那位鲁斯坦会成为他的得力副手，并在服务蒙德人民二十三年后因公殉职。如今，「光之狮」所持大剑的仿品又落在了另一双年轻的手中。这伟大神秘的宿命传承，又将以何种方式继续？,"['高塔孤王的破瓦*2', '高塔孤王的残垣*6', '高塔孤王的断片*6', '高塔孤王的碎梦*3', '沉重号角*10', '黑铜号角*12', '黑晶号角*18', '骗骗花蜜*6', '微光花蜜*10', '原素花蜜*12', '精锻用魔矿*399']",https://uploadstatic.mihoyo.com/ys-obc/2020/03/19/75833613/9f92bc7c1b1c9f667d8b36a2890dba3c_4966013475177272313.png,阶不屈 , 精炼(1/2/3/4/5) 生命值低于(70%/75%/80%/85%/90%)时，重击不会轻易被打断，并提高(30%/35%/40%/45%/50%)重击伤害。这把剑是著名的光之狮艾伦德林的佩剑的仿品。握紧它，感受传说中大英雄的力量吧！注意：幻想请适度。 ,双手剑,三星,生命值,祈愿,weapon
沐浴龙血的剑,130, 传说，著名的英雄在斩杀毒龙之后，以猎获的龙血沐浴，以期刀枪不入。龙血确有此奇效：受其洗刷的躯体，卷了无数刀剑的刃，折了无数枪矛的尖，漫天飞来的箭，在他的笑声中纷纷弹开。最终，他的敌人们发现：他是背着钟爱的大剑沐浴龙血的，背上有一整块大剑尺寸的弱点哩。,"['凛风奔狼的始龀*2', '凛风奔狼的裂齿*6', '凛风奔狼的断牙*6', '凛风奔狼的怀乡*3', '地脉的旧枝*10', '地脉的枯叶*12', '地脉的新芽*18', '牢固的箭簇*6', '锐利的箭簇*10', '历战的箭簇*12', '精锻用魔矿*399']",https://uploadstatic.mihoyo.com/ys-obc/2020/03/19/75833613/6612743f57016119d5d86d65b0bb3c78_6863185488096462582.png,阶踏火息雷 , 精炼(1/2/3/4/5) 对处于火元素或雷元素影响下的敌人，造成的伤害提高(12%/15%/18%/21%/24%)。据说是北方英雄浸过龙血的钢铁大剑，有刀枪不入的神力…这种护佑并不会延伸到挥舞它的人身上。 ,双手剑,三星,元素精通,祈愿,weapon
以理服人,131, 在任何争辩中都是最可靠的理论根基，说起话来掷地有声。不论面对的是多么食古不化的对手，以理服人，金石为开。是谓之金石良言。最终在人们的反对中，被勒令停止制造。是谓之众口铄金。,"['雾海云间的铅丹*2', '雾海云间的汞丹*6', '雾海云间的金丹*6', '雾海云间的转还*3', '雾虚花粉*10', '雾虚草囊*12', '雾虚灯芯*18', '破损的面具*6', '污秽的面具*10', '不祥的面具*12', '精锻用魔矿*399']",https://uploadstatic.mihoyo.com/ys-obc/2020/03/19/75833613/059f200b99d098fd1791a5b6df57fb15_2429287944097179245.png,阶有话直说 , 精炼(1/2/3/4/5) 施放元素战技后，普通攻击和重击命中时会在小范围内额外造成(60%/75%/90%/105%/120%)攻击力的伤害。该效果持续15秒，伤害每3秒只能触发一次。精钢打造的趁手大铁棒子。最好的理论依据。 ,双手剑,三星,攻击力,祈愿,weapon
