mhy_id,name,introduction,decryption,evil_task,legend_task,delegate_task,world_task,common_master,elite_master,boss_master,dropping_material,ingredient,picking_material,specialty,icon,label
3075,鹤观,稻妻六大岛屿之一，主要由知比山、笈名海滨、千来神祠、茂知祭场、菅名山、逢岳之野、惑饲滩组成。,"['元素方碑', '限时挑战', '雷灵', '雷种子', '指引仙灵', '采集机关', '环境＆地形破坏', '机关立方']",暂无,暂无,"['戏水危险', '恶犬管理规范', '邪恶的游荡']","['要求特别多的作家', '倾听木簧笛的八音曲', '雾海与树之祭', '日轮与菅名山']","['史莱姆', '射手丘丘人', '丘丘人', '飘浮灵', '骗骗花', '丘丘萨满']","['遗迹机兵', '丘丘暴徒', '兽境之狼', '深渊法师', '遗迹守卫', '丘丘雷兜王']",['黄金王兽'],"['冒险家的经验', '流浪者的经验', '大英雄的经验', '史莱姆凝液', '史莱姆清', '史莱姆原浆', '污秽的面具', '不祥的面具', '牢固的箭簇', '锐利的箭簇', '历战的箭簇', '沉重号角', '黑铜号角', '黑晶号角', '混沌机关', '混沌机关', '混沌真眼', '浮游干核', '浮游幽核', '浮游晶化核', '隐兽指爪', '隐兽利爪', '隐兽鬼爪', '混沌装置', '混沌回路', '混沌炉心']","['甜甜花', '螃蟹', '薄荷', '胡萝卜', '鸟蛋', '松茸', '白萝卜', '卷心菜', '小麦', '禽肉', '鱼肉', '兽肉', '树莓']","['海草', '晶核', '蜥蜴尾巴', '鳗鳗', '铁块', '紫晶块']","['海灵芝', '幽灯蕈']",https://uploadstatic.mihoyo.com/ys-obc/2021/10/31/5861124/1ce1fef239d6246ee44bbbb2afb17f33_160190996331821410.png,area
2439,八酝岛,稻妻六大岛屿之一，主要由名椎滩、藤兜砦、绯木村、无名砦、蛇神之首以及蛇骨矿洞组成。,"['限时挑战', '元素方碑', '雷灵', '雷种子', '环境＆地形破坏', '机关立方', '指引仙灵']",['第二章 第二幕「无念无想，泡影断灭」'],['无'],"['君子白日闯', '轰隆隆的大危机', '极速前进', '攀高危险', '箭术示范']","['远吕羽氏遗事', '险恶的教喻', '执望三千里', '武者的宿命', '全能美食队·深潜者', '孤岛诊疗谭']","['水史莱姆', '火史莱姆', '雷史莱姆', '冰史莱姆', '射手丘丘人', '丘丘人', '盗宝团', '野伏众']",暂无,暂无,暂无,"['薄荷', '甜甜花', '螃蟹', '胡萝卜', '鸟蛋', '松茸', '白萝卜', '卷心菜', '小麦', '禽肉', '鱼肉']","['冒险家的经验', '流浪者的经验', '大英雄的经验', '史莱姆凝液', '史莱姆清', '史莱姆原浆', '破损的面具', '污秽的面具', '不祥的面具', '牢固的箭簇', '锐利的箭簇', '历战的箭簇', '沉重号角', '黑铜号角', '黑晶号角', '寻宝鸦印', '藏银鸦印', '攫金鸦印', '地脉的旧枝', '地脉的枯叶', '地脉的新芽', '混沌机关', '混沌枢纽', '混沌真眼', '雾虚花粉', '雾虚草囊', '雾虚灯芯', '自在松石碎屑', '自在松石断片', '自在松石块', '自在松石', '哀叙冰玉碎屑', '哀叙冰玉断片', '哀叙冰玉块', '哀叙冰玉', '魔偶机心', '破旧的刀镡', '影打刀镡', '名刀镡', '黯淡棱镜', '水晶棱镜', '偏光棱镜', '骗骗花蜜', '微光花蜜', '原素花蜜']","['血斛', '晶化骨髓', '鸣草', '海灵芝', '鬼兜虫']",https://uploadstatic.mihoyo.com/ys-obc/2021/07/27/5861124/bd58df64f9a9054cf49b29a16536f61b_7767981357132072343.png,area
5004,列柱沙原,须弥十大区域之一，主要由赤王陵、铄石之丘、避让之丘、饱饮之丘、秘仪圣殿、丰饶绿洲组成。,"['限时挑战', '死域', '幻影壁画', '指引仙灵', '元素方碑', '元能尖碑', '恒光元件', '元能火种', '元能沙漏']",暂无,暂无,暂无,暂无,"['丘丘人', '射手丘丘人', '丘丘萨满', '盗宝团', '史莱姆', '镀金旅团', '愚人众先遣队', '蕈兽']",暂无,['半永恒统辖矩阵'],"['冒险家的经验', '流浪者的经验', '大英雄的经验', '破损的面具', '污秽的面具', '不祥的面具', '牢固的箭簇', '锐利的箭簇', '历战的箭簇', '荧光孢粉', '蕈兽孢子', '孢囊晶尘', '失活菌核', '休眠菌核', '茁壮菌核', '寻宝鸦印', '藏银鸦印', '攫金鸦印', '褪色红绸', '镶边红绸', '织金红绸', '史莱姆凝液', '史莱姆清', '史莱姆原浆', '导能绘卷', '封魔绘卷', '禁咒绘卷', '沉重号角', '黑铜号角', '黑晶号角', '猎兵祭刀', '特工祭刀', '督察长祭刀', '黯淡棱镜', '水晶棱镜', '偏光棱镜', '雾虚花粉', '雾虚草囊', '雾虚灯芯', '新兵的徽记', '士官的徽记', '尉官的徽记', '破缺棱晶', '混浊棱晶', '辉光棱晶', '燃愿玛瑙碎屑', '燃愿玛瑙断片', '燃愿玛瑙块', '燃愿玛瑙', '自在松石碎屑', '自在松石断片', '自在松石块', '自在松石', '导光四面体']","['胡萝卜', '鸟蛋', '白萝卜', '松果', '卷心菜', '小麦', '兽肉']","['烈焰花花蕊', '晶核', '电气水晶', '蝴蝶翅膀', '青蛙', '星蕈', '枣椰']","['圣金虫', '赤念果']",https://uploadstatic.mihoyo.com/ys-obc/2022/10/11/5861124/348275a00df8aed34049a53d81cae37a_4304701535819643219.png,area
5005,上风蚀地,须弥十大区域之一，主要由荼诃落谷组成。,"['限时挑战', '死域', '指引仙灵', '元素方碑', '元能尖碑', '恒光元件', '元能火种', '元能沙漏']",暂无,暂无,暂无,暂无,"['丘丘人', '射手丘丘人', '丘丘萨满', '盗宝团', '史莱姆', '蕈兽', '镀金旅团', '愚人众先遣队']",暂无,暂无,"['冒险家的经验', '流浪者的经验', '大英雄的经验', '破损的面具', '污秽的面具', '不祥的面具', '牢固的箭簇', '锐利的箭簇', '历战的箭簇', '荧光孢粉', '蕈兽孢子', '孢囊晶尘', '失活菌核', '休眠菌核', '茁壮菌核', '寻宝鸦印', '藏银鸦印', '攫金鸦印', '褪色红绸', '镶边红绸', '织金红绸', '史莱姆凝液', '史莱姆清', '史莱姆原浆', '导能绘卷', '封魔绘卷', '禁咒绘卷', '沉重号角', '黑铜号角', '黑晶号角', '混沌装置', '混沌回路', '混沌炉心', '新兵的徽记', '士官的徽记', '尉官的徽记', '破缺棱晶', '混浊棱晶', '辉光棱晶']","['胡萝卜', '鸟蛋', '白萝卜', '松果', '卷心菜', '小麦', '兽肉']","['晶核', '烈焰花花蕊', '电气水晶', '蝴蝶翅膀', '青蛙', '星蕈', '枣椰']","['圣金虫', '赤念果']",https://uploadstatic.mihoyo.com/ys-obc/2022/10/11/5861124/347157ff9289d3bd78eeb274178f3e21_2228145267499306303.png,area
5006,下风蚀地,须弥十大区域之一，主要由圣显厅、舍身陷坑、阿如村、活力之家组成。,"['限时挑战', '死域', '幻影壁画', '指引仙灵', '元素方碑', '元能尖碑', '恒光元件', '元能火种', '元能沙漏']",暂无,暂无,暂无,暂无,"['丘丘人', '射手丘丘人', '丘丘萨满', '盗宝团', '史莱姆', '蕈兽', '镀金旅团', '愚人众先遣队']",暂无,暂无,"['冒险家的经验', '流浪者的经验', '大英雄的经验', '破损的面具', '污秽的面具', '不祥的面具', '牢固的箭簇', '锐利的箭簇', '历战的箭簇', '荧光孢粉', '蕈兽孢子', '孢囊晶尘', '失活菌核', '休眠菌核', '茁壮菌核', '寻宝鸦印', '藏银鸦印', '攫金鸦印', '褪色红绸', '镶边红绸', '织金红绸', '史莱姆凝液', '史莱姆清', '史莱姆原浆', '导能绘卷', '封魔绘卷', '禁咒绘卷', '沉重号角', '黑铜号角', '黑晶号角', '混沌装置', '混沌回路', '混沌炉心', '猎兵祭刀', '特工祭刀', '督察长祭刀', '新兵的徽记', '士官的徽记', '尉官的徽记', '破缺棱晶', '混浊棱晶', '辉光棱晶', '混沌机关', '混沌枢纽', '混沌真眼']","['胡萝卜', '鸟蛋', '白萝卜', '松果', '卷心菜', '小麦', '兽肉']","['晶核', '烈焰花花蕊', '电气水晶', '蝴蝶翅膀', '青蛙', '星蕈', '枣椰']","['圣金虫', '赤念果']",https://uploadstatic.mihoyo.com/ys-obc/2022/10/11/5861124/281d3cec381cbfbd3f2bb872759f55b1_7332051309033463009.png,area
4663,二净甸,须弥十大区域之一，主要由觉王之殿、二净甸组成。,"['限时挑战', '石柱的封印', '桑格吉拉光机', '死域', '指引仙灵', '元素方碑', '须弥解密']",暂无,暂无,['攀高危险'],['森林书第三章：失梦的苗圃'],"['丘丘人', '射手丘丘人', '丘丘萨满', '史莱姆', '飘浮灵', '蕈兽', '镀金旅团']",暂无,['翠翎恐蕈'],"['冒险家的经验', '流浪者的经验', '大英雄的经验', '破损的面具', '污秽的面具', '不祥的面具', '牢固的箭簇', '锐利的箭簇', '历战的箭簇', '荧光孢粉', '蕈兽孢子', '孢囊晶尘', '失活菌核', '休眠菌核', '茁壮菌核', '褪色红绸', '镶边红绸', '织金红绸', '史莱姆凝液', '史莱姆清', '史莱姆原浆', '导能绘卷', '封魔绘卷', '禁咒绘卷', '浮游干核', '浮游幽核', '浮游晶化核', '沉重号角', '黑铜号角', '黑晶号角', '混沌机关', '混沌枢纽', '混沌真眼', '混沌装置', '混沌回路', '混沌炉心', '混沌容器', '混沌模块', '混沌锚栓', '隐兽指爪', '隐兽利爪', '隐兽鬼爪', '蕈王钩喙', '生长碧翡碎屑', '生长碧翡断片', '生长碧翡块', '生长碧翡']","['胡萝卜', '鸟蛋', '松茸', '白萝卜', '松果', '卷心菜', '小麦', '鱼肉', '兽肉']","['晶核', '青蛙', '冰雾花花朵', '烈焰花花蕊', '香辛果', '须弥蔷薇', '墩墩桃', '电气水晶']","['树王圣体菇', '月莲', '劫波莲']",https://uploadstatic.mihoyo.com/ys-obc/2022/09/02/5861124/d1e8c8552ea99da71fa5b03909ffd105_4053625534125708101.png,area
4664,桓那兰那,须弥十大区域之一，主要由桓那兰那组成。,"['限时挑战','死域','幻梦之门','挖掘宝箱','元素方碑','须弥解密','指引仙灵','野外的苗圃']",暂无,暂无,暂无,"['森林书第二章:梦中的苗圃','静态风景','静态风景:后篇']","['丘丘人','射手丘丘人','丘丘萨满','骗骗花','蕈兽','镀金旅团']","['丘丘暴徒']",暂无,"['冒险家的经验', '流浪者的经验', '大英雄的经验', '破损的面具', '污秽的面具', '不祥的面具', '荧光孢粉', '蕈兽孢子', '孢囊晶尘', '失活菌核', '休眠菌核', '茁壮菌核', '褪色红绸', '镶边红绸', '织金红绸', '沉重号角', '黑铜号角', '黑晶号角', '骗骗花蜜', '微光花蜜', '原素花蜜']","['胡萝卜', '鸟蛋', '松茸', '白萝卜', '松果', '卷心菜', '小麦', '树莓', '鱼肉']","['晶核','青蛙','墩墩桃','毗波耶']","['树王圣体菇','月莲','劫波莲','帕蒂沙兰']",https://uploadstatic.mihoyo.com/ys-obc/2022/08/31/5861124/f363f801586a850b8a364315b5c5941b_8098152407735854647.png,area
4665,阿陀河谷,须弥十大区域之一，主要由奥摩斯港、降诸魔山、维摩庄组成。,"['限时挑战', '石柱的封印', '桑格吉拉光机', '死域', '幻梦之门', '指引仙灵', '元素方碑', '野外的苗圃', '须弥解密', '巨型碎石']",暂无,暂无,"['攀高危险', '鱼钩上的绝景?', '喵···喵喵？喵！喵。', '掠草行动', '抹金折戟']","['森林书第一章：林中奇遇', '森林书第二章：梦中的苗圃', '森林书第四章：最终，森林会记住一切', '趁梦想气息逗留', '被嫌弃的木刻', '代价', '鱼钩的物尽其用']","['丘丘人', '射手丘丘人', '丘丘萨满', '史莱姆', '骗骗花', '蕈兽', '镀金旅团']",暂无,['兆载永劫龙兽'],"['冒险家的经验', '流浪者的经验', '大英雄的经验', '破损的面具', '污秽的面具', '不祥的面具', '牢固的箭簇', '锐利的箭簇', '历战的箭簇', '荧光孢粉', '蕈兽孢子', '孢囊晶尘', '失活菌核', '休眠菌核', '茁壮菌核', '褪色红绸', '镶边红绸', '织金红绸', '史莱姆凝液', '史莱姆清', '史莱姆原浆', '导能绘卷', '封魔绘卷', '禁咒绘卷', '沉重号角', '黑铜号角', '黑晶号角', '混沌机关', '混沌枢纽', '混沌真眼', '混沌容器', '混沌模块', '混沌锚栓', '哀叙冰玉碎屑', '哀叙冰玉断片', '哀叙冰玉块', '哀叙冰玉', '涤净青金碎屑', '涤净青金断片', '涤净青金块', '涤净青金', '永续机芯']","['鸟蛋', '松茸', '胡萝卜', '白萝卜', '松果', '卷心菜', '小麦', '鱼肉', '兽肉']","['烈焰花花蕊', '电气水晶', '晶核', '蝴蝶翅膀', '薄荷', '甜甜花', '香辛果', '须弥蔷薇', '墩墩桃']","['树王圣体菇', '劫波莲', '月莲']",https://uploadstatic.mihoyo.com/ys-obc/2022/09/02/5861124/60f37cc0c65b2b5ecef53fce4842ad8f_2698538526826043784.png,area
4666,善见地,须弥十大区域之一，主要由喀万驿、荼诃之座、水天丛林、谒颂幽境、禅那园组成。,"['限时挑战', '石柱的封印', '桑格吉拉光机', '死域', '幻梦之门', '指引仙灵', '元素方碑', '野外的苗圃', '须弥解密']",暂无,['郭狐之章 第一幕 「没有答案的课题」'],"['无槌敲菇法', '游光示现', '抹金折戟']","['森林书第一章：林中奇遇', '愚人者人愚之', '与珍稀之鸟的短暂邂逅', '兽有失蹄']","['丘丘人', '射手丘丘人', '丘丘萨满', '盗宝团', '史莱姆', '骗骗花', '蕈兽', '镀金旅团']",暂无,暂无,"['冒险家的经验', '流浪者的经验', '大英雄的经验', '破损的面具', '污秽的面具', '不祥的面具', '牢固的箭簇', '锐利的箭簇', '历战的箭簇', '荧光孢粉', '蕈兽孢子', '孢囊晶尘', '失活菌核', '休眠菌核', '茁壮菌核', '寻宝鸦印', '藏银鸦印', '攫金鸦印', '褪色红绸', '镶边红绸', '织金红绸', '史莱姆凝液', '史莱姆清', '史莱姆原浆', '导能绘卷', '封魔绘卷', '禁咒绘卷', '沉重号角', '黑铜号角', '黑晶号角', '混沌机关', '混沌枢纽', '混沌真眼', '混沌装置', '混沌回路', '混沌炉心', '混沌容器', '混沌模块', '混沌锚栓', '猎兵祭刀', '特工祭刀', '督察长祭刀', '雾虚花粉', '雾虚草囊', '雾虚灯芯']","['胡萝卜', '鸟蛋', '松茸', '白萝卜', '松果', '卷心菜', '小麦', '鱼肉', '兽肉']","['晶核', '烈焰花花蕊', '电气水晶', '蝴蝶翅膀', '青蛙', '薄荷', '甜甜花', '毗波耶', '香辛果', '须弥蔷薇', '墩墩桃', '星蕈']","['帕蒂沙兰', '树王圣体菇', '劫波莲', '月莲']",https://uploadstatic.mihoyo.com/ys-obc/2022/09/02/5861124/1fd1ff7786badfb9fe7f5b8b8f90ffea_437766364388129271.png,area
4667,失落的苗圃,须弥十大区域之一，主要由往昔的桓那兰那组成。,"['死域', '须弥解密']",暂无,暂无,暂无,"['森林书第三章：失梦的苗圃', '森林书第四章：最终，森林会记住一切']","['丘丘人', '史莱姆', '蕈兽']",暂无,暂无,"['冒险家的经验', '流浪者的经验', '大英雄的经验', '破损的面具', '污秽的面具', '不祥的面具', '荧光孢粉', '蕈兽孢子', '孢囊晶尘', '失活菌核', '休眠菌核', '茁壮菌核', '史莱姆凝液', '史莱姆清', '史莱姆原浆', '沉重号角', '黑铜号角', '黑晶号角']","['胡萝卜', '鸟蛋', '松茸', '白萝卜', '松果', '卷心菜', '兽肉']",暂无,暂无,https://uploadstatic.mihoyo.com/ys-obc/2022/09/02/5861124/9780e5d32a9d2ed5872e0e3e69d96c65_2083356337262642646.png,area
