mhy_id,name,getting,introduction,using,icon,label
795,凛风奔狼的始龀,【塞西莉亚苗圃（周二/五/日）】炼武秘境：深没之谷Ⅰ/Ⅱ/Ⅲ/Ⅳ玛乔丽【纪念品商店】兑换,暂无,【炼金】凛风奔狼的裂齿,https://uploadstatic.mihoyo.com/ys-obc/2020/07/01/80410800/d3329a711645d943ba518a1c9b06d13b_978120153363150865.png,material
796,凛风奔狼的裂齿,【塞西莉亚苗圃（周二/五/日）】炼武秘境：深没之谷Ⅱ/Ⅲ/Ⅳ合成获得,暂无,【炼金】凛风奔狼的断牙。合成武器突破素材时，有25%概率返还部分合成材料。合成武器突破素材时，有10%概率获得2倍产出。,https://uploadstatic.mihoyo.com/ys-obc/2021/08/22/6381993/451b6018f62f60061aa9f10bbad8871d_2777826801129239192.png,material
797,凛风奔狼的断牙,【塞西莉亚苗圃（周二/五/日）】炼武秘境：深没之谷Ⅲ/Ⅳ合成获得,暂无,【炼金】凛风奔狼的怀乡。合成武器突破素材时，有25%概率返还部分合成材料。合成武器突破素材时，有10%概率获得2倍产出。,https://uploadstatic.mihoyo.com/ys-obc/2021/08/22/6381993/3acd470d56eb8ebd1097f1a86c840c3f_3482792011308404993.png,material
798,凛风奔狼的怀乡,【塞西莉亚苗圃（周二/五/日）】炼武秘境：深没之谷Ⅳ合成获得,暂无,合成武器突破素材时，有25%概率返还部分合成材料。合成武器突破素材时，有10%概率获得2倍产出。,https://uploadstatic.mihoyo.com/ys-obc/2021/08/22/6381993/ed6eb531c6f385d6133b0c30b4f47ce2_6225207976407893285.png,material
799,狮牙斗士的枷锁,【塞西莉亚苗圃（周三/六/日）】炼武秘境：渴水的废都Ⅰ/Ⅱ/Ⅲ/Ⅳ玛乔丽【纪念品商店】兑换,暂无,【炼金】狮牙斗士的铁链,https://uploadstatic.mihoyo.com/ys-obc/2020/07/01/80410800/6d470c1b5ee18858ccdba71d5080362f_2953572502965542317.png,material
800,狮牙斗士的铁链,【塞西莉亚苗圃（周三/六/日）】炼武秘境：渴水的废都Ⅱ/Ⅲ/Ⅳ炼金合成,暂无,【炼金】狮牙斗士的镣铐。合成武器突破素材时，有25%概率返还部分合成材料。合成武器突破素材时，有10%概率获得2倍产出。,https://uploadstatic.mihoyo.com/ys-obc/2021/08/22/6381993/6ad72ef6621e581601eca9074c253a70_2477688830205100862.png,material
801,狮牙斗士的镣铐,【塞西莉亚苗圃（周三/六/日）】炼武秘境：渴水的废都Ⅲ/Ⅳ炼金合成,暂无,【炼金】狮牙斗士的理想。合成武器突破素材时，有25%概率返还部分合成材料。合成武器突破素材时，有10%概率获得2倍产出。,https://uploadstatic.mihoyo.com/ys-obc/2021/08/22/6381993/4adc3d4afd68f542e98f0c3bf7efeac5_8365278384644233379.png,material
802,狮牙斗士的理想,【塞西莉亚苗圃（周三/六/日）】炼武秘境：渴水的废都Ⅳ炼金合成,她是发自真心这么希望着的：愿这个世界变得更加坚强一些。,合成武器突破素材时，有25%概率返还部分合成材料。合成武器突破素材时，有10%概率获得2倍产出。,https://uploadstatic.mihoyo.com/ys-obc/2021/08/22/6381993/a71e216aaa6297056e887e583c6df932_602783919022092895.png,material
803,高塔孤王的破瓦,【塞西莉亚苗圃（周一/四/日）】炼武秘境：水光之城Ⅰ/Ⅱ/Ⅲ/Ⅳ玛乔丽【纪念品商店】兑换,暂无,【炼金】高塔孤王的残垣,https://uploadstatic.mihoyo.com/ys-obc/2021/08/22/6381993/4bce8cc8c5e838d034aefff36b610de8_6083960301116093023.png,material
804,高塔孤王的残垣,【塞西莉亚苗圃（周一/四/日）】炼武秘境：水光之城Ⅱ/Ⅲ/Ⅳ炼金合成,暂无,【炼金】高塔孤王的断片。合成武器突破素材时，有25%概率返还部分合成材料。合成武器突破素材时，有10%概率获得2倍产出。,https://uploadstatic.mihoyo.com/ys-obc/2021/08/22/6381993/71f29b74fb8d894262a0e843bc9436d4_2070400447854912199.png,material
805,高塔孤王的断片,【塞西莉亚苗圃（周一/四/日）】炼武秘境：水光之城Ⅲ/Ⅳ炼金合成,暂无,【炼金】高塔孤王的碎梦。合成武器突破素材时，有25%概率返还部分合成材料。合成武器突破素材时，有10%概率获得2倍产出。,https://uploadstatic.mihoyo.com/ys-obc/2021/08/22/6381993/7617aadaf7720ff3666b57d93bfe2361_7241511255549589517.png,material
