mhy_id,name,dropping,attack,element,weakness,introduction,label,icon
170,岩盾丘丘暴徒,"['摩拉', '沉重号角', '黑铜号角', '黑晶号角', '破损的面具', '污秽的面具', '不祥的面具', '战狂', '教官', '流放者', '游医']",岩盾冲撞，挥盾猛击，格挡反击，投掷岩史莱姆，无盾冲撞，无盾挥击,岩,可使用兔兔伯爵嘲讽，从而直接对本体造成伤害。,以顽岩为盾的丘丘人大块头。对于丘丘人而言，最重要的事情就是吃肉和打架，让身体变得强壮。如果能成为丘丘暴徒这样又大又壮的战士就能吃更多肉、打更多架、举起(几乎)坚不可摧的巨大岩盾了。丘丘人的部落当中，百里挑一的强壮勇士，使用牢固的岩石巨盾战斗。丘丘人的文明中没有神，也没有秩序。只要够强壮，打架够狠，就能成为它们的领袖。与木盾丘丘暴徒不同，利用岩元素构成的盾牌保护自己。厚重的岩元素攻击、双手剑，或者剧烈的爆炸，应该可以有效破坏岩盾吧...,master,https://uploadstatic.mihoyo.com/ys-obc/2020/03/21/408757/a6c4bcdb7d1bbc9b446e4e5f1a330008_6336490794819989740.png
224,无相之岩·基末尔,"['冒险阅历', '摩拉', '好感经验', '角色经验', '玄岩之塔', '坚牢黄玉碎屑', '坚牢黄玉断片', '坚牢黄玉块', '坚牢黄玉', '教官', '流放者', '游医', '角斗士的终幕礼', '流浪大地的乐团']",暂无,岩,暂无,用惰性的方壳保护自己与战斗的强大元素魔物。抓住元素核心暴露在外的时机，才能有效攻击。会利用创造出的岩元素固件进行战斗，在危急时刻恢复生命。挑战无相之岩时请在队伍配备至少一名可以使用厚重的岩元素攻击、双手剑，或者剧烈的爆炸的角色。,master,https://uploadstatic.mihoyo.com/ys-obc/2020/03/24/408757/c7e66ea3659d9049117dd9b788e887f0_6921991523773184762.png
919,丘丘岩盔王,"['摩拉', '沉重号角', '黑铜号角', '黑晶号角', '破损的面具', '污秽的面具', '不祥的面具', '战狂', '教官', '流放者', '游医']",挥击，挥击重拳，冲锋，蓄力坠击，投掷岩史莱姆，岩铠·挥击重锤，岩铠·冲锋，岩铠·蓄力坠击，岩铠·连续坠击，岩铠·砸地，岩铠·连续砸地，岩铠·投掷大型岩史莱姆，岩铠·连续砸地之转身给你一拳。,岩,旅行者可以尽量采取双手剑的方式作战。附着一层岩元素铠甲，尽量使用双手剑，超载等剧烈的攻击快速破除岩元素铠甲。,墟散人离之处千嶂中漫行的神秘「王者」。被同胞称为「Lawa」的庞大丘丘人。环境中增生的岩元素化成了它们身体的一部分仿佛血肉与皮肤皆由不移的山岩雕琢而成。体内积聚了大量的元素，发生了变异的丘丘暴徒。更大、更壮、更凶悍。,master,https://uploadstatic.mihoyo.com/ys-obc/2020/06/25/8797197/ca5cf0fb3241849c45ae380fccb24a4d_4054225810625146657.png
957,岩盾丘丘人,"['摩拉', '破损的面具', '污秽的面具', '不祥的面具']",暂无,岩,暂无,提瓦特荒野中游荡的原始住民。岩元素富集的地域中顽强生存的丘丘人，其坚不可摧的盾牌上增生着层层磐岩。遍布大陆，有这最基础文明形态的人形魔物。与木盾丘丘人不同，利用岩元素构成的盾牌保护自己。厚重的岩元素攻击、双手剑，或者剧烈的爆炸，应该可以有效破坏岩盾吧···,master,https://uploadstatic.mihoyo.com/ys-obc/2020/07/09/408757/3e8c5e4cc89b1a2cc5a64660dbb1b2fd_8937042923728783063.png
966,岩丘丘萨满,"['摩拉', '导能绘卷', '封魔绘卷', '禁咒绘卷', '破损的面具', '污秽的面具', '不祥的面具']",挥棍，岩刺，岩柱，岩震,岩,利用弓箭角色瞄准弱点进行攻击，可以击落立于岩柱上的敌人。优先击落并击杀萨满，可以使其他岩柱崩塌。,嘟嘟囔囔的老年丘丘人，岩元素的倾听者。在元素掌控方面颇富天资的丘丘人，其能力往往会在年老时达到顶峰。同千古的顽岩相比，即使最年老的丘丘人也不过孩童但记忆与经验引导它们获得了操使岩石的权能。丘丘人当中的萨满祭司。能在一定程度上求得元素的帮助。「面具的造型设计有着恫吓敌人的意味，但反而让它们看起来有些亲切。」——雅各布·马斯克会利用岩元素构成牢固的石柱，使自己与其他魔物远离危险。厚重的岩元素攻击、双手剑，或者剧烈的爆炸能有效摧毁石柱。如果能快速打倒它，也能使石柱失去维持的魔力...,master,https://uploadstatic.mihoyo.com/ys-obc/2020/07/08/408757/06617d6e9932e838a9384ca699f8121d_4306762786580482772.png
992,岩史莱姆,"['摩拉', '史莱姆凝液', '史莱姆清', '史莱姆原浆']",撞击，蓄力坠击，岩石射击，岩石铠甲, 岩,暂无,大地之中的岩元素凝聚形成的小小魔物。广义而言，地壳之中蕴含着丰富的岩元素。由此产生的岩史莱姆也让人有着脚踏实地的感觉。大地之中的岩元素凝聚形成的魔物。能将体内的力量凝结成岩壳，保护自己不受伤害。过去在盗宝团中一度流传着「大黄金岩史莱姆王」的说法，认为既然不少宝石与矿物中蕴含岩元素，那蕴含岩元素的史莱姆同样很可能是宝石与矿物。圆滚滚的元素生物利用坚硬的岩元素护罩保护自己的史莱姆。厚重的岩元素攻击、双手剑，或者剧烈的爆炸，应该可以有效破坏护罩吧...,master,https://uploadstatic.mihoyo.com/ys-obc/2020/07/14/408757/cb8d9e57a7dc1d79118b9be7c32330a0_3278947125784842351.png
1105,愚人众先遣队·岩使游击兵,"['摩拉', '新兵的徽记', '士官的徽记', '尉官的徽记']",暂无,岩,暂无,持有驾驭尘岩的法杖，能够创造晶岩护罩的愚人众士兵。能进入某种元素增幅状态。如果要破除他的增幅状态与护罩，或许可以利用对付岩元素的方法对付他...能驱使岩元素构成护罩，保护战友的先遣队士兵。不同于少数精锐的债务处理人与萤术士，先遣队的单兵实力与装备较为薄弱。为了完成任务，为了减少人员与物资的损耗，先遣队的战术更讲究团队协作。愚人众战争机器中的士兵。「先遣队」之名意味着生死不问，深入祖国以外的土地完成前期任务，为未来的某些行动夯实基础。不同于少数精锐的债务处理人与萤术士，先遣队的单兵实力与装备较为薄弱。为了完成任务，为了减少人员与物资的损耗，先遣队的战术更讲究团队协作。,master,https://uploadstatic.mihoyo.com/ys-obc/2020/09/20/8797197/9a16b5835940f835a78f5d8c847ff00f_804541192527566239.png
1495,岩龙蜥,"['摩拉', '脆弱的骨片', '结实的骨片', '石化的骨片', '战狂', '教官', '流放者', '游医']",爪击，连续锤击，连续坠击，冲撞坠击，冰附魔·爪击，冰附魔·连续锤击，冰附魔·连续坠击，冰附魔·冲撞坠击，雷附魔·爪击，雷附魔·连续锤击，雷附魔·连续坠击，雷附魔·冲撞坠击，水附魔·延迟水柱，水附魔·爪击，水附魔·连续锤击，水附魔·连续坠击，水附魔·冲撞坠击，火附魔·爪击，火附魔·连续锤击，火附魔·连续坠击，火附魔·冲撞坠击, 岩,暂无,体格强壮的成年岩龙蜥。攻击中的某一式命中受到护盾庇护的角色，并且未能破坏护盾时，会因为反作用力而暂时陷入瘫痪状态...成熟的岩之龙蜥。据称，幼岩龙蜥历经漫长岁月的积累后，会蜕去原本保护自己的装甲，成为「岩龙蜥」。但这两者，以及更古老、更伟大的「古岩龙蜥」，在过去的许多年中都蛰伏在山下，直到近期才开始活动。因此这种说法没有第一手观测记录证明。,master,https://uploadstatic.mihoyo.com/ys-obc/2021/01/12/8797197/c49d6e94bf6046b9f9a44f4096089db4_4942164765281942297.png
1496,古岩龙蜥,"['冒险阅历', '摩拉', '好感经验', '角色经验', '未熟之玉', '坚牢黄玉碎屑', '坚牢黄玉断片', '坚牢黄玉块', '坚牢黄玉', '最胜紫晶碎屑', '最胜紫晶断片', '最胜紫晶块', '最胜紫晶', '哀叙冰玉碎屑', '哀叙冰玉断片', '哀叙冰玉块', '哀叙冰玉', '燃愿玛瑙碎屑', '燃愿玛瑙断片', '燃愿玛瑙块', '燃愿玛瑙', '涤净青金碎屑', '涤净青金断片', '涤净青金块', '涤净青金', '战狂', '教官', '流放者', '祭雷之人', '祭冰之人', '祭火之人', '祭水之人', '角斗士的终幕礼', '流浪大地的乐团']",爪击，按趴，连续爪击，突进爪击，潜龙，甩尾，喷射背刺，投掷尾刺，延时元素刺，吐息，原岩喷吐,岩,暂无,从悠古的长眠中苏醒的古岩龙蜥，能汲取各种元素的力量，进行水、火、冰、雷四种元素的「原岩喷吐」攻击。当这种攻击命中受到护盾庇护的角色时，古岩龙蜥会受到伤害反噬；如果护盾的元素属性与原岩喷吐的元素属性相同，或者是岩元素护盾，反噬的伤害会更加剧烈...全解析古岩龙蜥经历了长久岁月，拥有伟大力量的巨大岩龙蜥，能够适应元素环境的异变。根据民话，导致天遒谷毁灭的「龙灾」发生后，岩龙蜥与古岩龙蜥们沉入大地之中，等待着复起的时机...,master,https://uploadstatic.mihoyo.com/ys-obc/2021/01/13/8797197/44aa43fe0011465e3754d9ae80d7da55_6289274401117333917.png
3162,黄金王兽,"['角色经验', '冒险阅历', '摩拉', '好感经验', '兽境王器', '坚牢黄玉碎屑', '坚牢黄玉断片', '坚牢黄玉块', '坚牢黄玉', '教官', '流放者', '游医', '角斗士的终幕礼', '流浪大地的乐团']",甩尾，横冲直撞，三连喷吐，岩喷射，狼卷风，兽境犬首，画狼点睛，黄金回旋,岩,暂无,鹤观兽境群狼之王。黄金王兽的攻击会施加可叠加的「侵蚀」状态，使队伍中所有角色持续损失生命值。在战斗中，黄金王兽会召唤「兽境犬首」，为自己赋予护盾并进入「嗜魔」状态，岩元素抗性降低的同时提高攻击能力对兽境犬首进行岩元素攻击以快速破除黄金王兽的护盾。来自异界的扭曲魔兽。统领兽境群狼的王者，拥有指挥狼群溶解空间的权威。来自晦暗的异界，是漆黑群狼之中的王，具有号令隐爪之异兽为它溶解空间，创造通行的裂隙的权能。王兽并没有名字，因为本身不过是「黄金」无心的造物；正因如此，才会更执着于侵入不属于它的世界，以自己的力量争取名号吧。但狼群绝非痴钝之物。此前的入侵受挫后选择了既无人、也无守护者的荒凉远岛，为王兽的降临做准备。,master,https://uploadstatic.mihoyo.com/ys-obc/2021/11/14/8797197/5a6c57fe39c95edaa3f70e8adb4da3ab_2786905353465368078.png
