id,name,rarity,type,source,refresh,intro,relatedFurnish,relatedFood,label
0,北风之尾,5星,天赋培养素材,70级以上北风狼挑战奖励,每周,N/A,N/A,N/A,material
1,东风的吐息,5星,天赋培养素材,70级以上风魔龙挑战奖励,每周,"从蒙德的东风之主唤起的狂风中，采来的些许力量。它的身躯是优美而通透的，信风与龙卷都愿为它效力。只要乘风而行，风就是它的同伴、它的歌声与它的自由。而它的敌人，就是—千种名字各异的风的敌人。",N/A,N/A,每周,material
2,璀璨原钻,5星,角色培养素材,冒险等阶奖励,不定,角色突破素材。欢迎来到世界。,N/A,N/A,material
3,龙王之冕,5星,天赋培养素材,70级以上若陀龙王挑战奖励,每周,千年刚玉凝成的结晶之角，乃是龙王的天生冠冕。注之以精魄，塑之以顽岩。它自山涧而生，在群岩的国土彰示天地的威权，而黄金般的长角则是它在过去与某位君王分庭抗礼的标志。曾一度裂折失色，如今却在你的手中闪烁着冰冷的黄金光泽。,N/A,N/A,material
4,智识之冕,5星,天赋培养素材,版本活动奖励/供奉忍冬之树至11级获取/供奉神樱大树至一定等级获取,不定,提升天赋所需要的珍贵素材。远古时期，承载与传授智识所用的仪式器具。尽管如此，智慧居于言语及典籍中，但智识之冕中残存的力量与智慧仍能给如今的人们带来伟大的突破吧。,N/A,N/A,material
5,自在松石,5星,角色培养素材,N/A,每天,"但风向是会转变的。终有一天，会吹向更有光亮的方向。从今往后，带着我的祝福，活得更加从容一些吧。",N/A,N/A,material
6,哀叙冰玉,5星,角色培养素材,N/A,每天,"抱歉让你们一起和我背负了整个世界的哀思。你们既然能忍受我的苦寒，那心中一定都有炽烈的欲望吧？那么，替我燃烧旧世界吧。",N/A,N/A,material
7,雷光棱镜,4星,角色培养素材,N/A,每天,N/A,N/A,N/A,material
8,晶凝之华,4星,角色培养素材,N/A,每天,N/A,N/A,N/A,material
9,雷霆数珠,4星,角色培养素材,30级以上雷音权现掉落,每天,N/A,N/A,N/A,material
10,极寒之核,4星,角色培养素材,30级以上急冻树掉落,每天,"急冻树被击败后,裸露出的原核。其中蕴含着纯净的冰元素。在大地深处中奔涌的能量与思念终归会喷发。就连哀思般沉寂的寒霜，也会附着在地面上的生命形态当中;即使原本不该狩猎的生灵的藤蔓植物，也会变得庞大而凶悍吧。",N/A,N/A,material
11,未熟之玉,4星,角色培养素材,30级以上古岩龙蜥掉落,每天,"从古岩龙蜥处取来的结晶物质，蕴含着成为龙的可能性。沉眠在山岳中的龙蜥体内，会析出这种黯淡的晶石。璃月有坊间传说认为，力量随着年月积聚，而这种晶石最终会取代原本的心脏，而龙蜥也会成为真正的龙，撼动山岳、撕裂大地。",N/A,N/A,material
12,坚牢黄玉,5星,角色培养素材,N/A,每天,"大陆所流通的一切银钱皆是我的血肉。我在以这样的方式，为人类—切的汗水、智慧和未来做担保。这是我对众生的信任，辜负了它就是玷污了我的血。",N/A,N/A,material
13,璀璨原钻块,4星,角色培养素材,冒险等阶奖励,不定,角色突破素材。欢迎来到世界。,N/A,N/A,material
14,恒常机关之心,4星,角色培养素材,30级以上恒常机关阵列掉落,每天,驱使恒常机关阵列自律行动的核心。有人推测这种核心上的纹样当中以肉眼不可见的语言写上了智能与逻辑，也有人进一步认为这种特殊的遗迹机关因为格外庞大的核心与复杂的纹样，自发选择抛弃了生物的姿态，转而追求性能的强大。,N/A,N/A,material
15,常燃火种,4星,角色培养素材,30级以上炎爆树掉落,每天,N/A,N/A,N/A,material
16,涤净青金,5星,角色培养素材,合成获得/75级以上纯水精灵掉落,每天,"我的理想之内并没有一丝污浊。我要纠正你，在这里，人并不对神背负罪孽，能下达判决的只有法律与裁判庭。他们甚至连我也可以裁判。赞美我的崇高与纯洁吧。",N/A,N/A,material
17,魔偶机心,4星,角色培养素材,30级以上魔偶剑鬼掉落,每天,N/A,N/A,N/A,material
18,玄岩之塔,4星,角色培养素材,N/A,每天,N/A,N/A,N/A,material
19,最胜紫晶,5星,角色培养素材,N/A,每天,"此身即是尘世最为殊胜尊贵之身。应持天下之大权。此身曾许诺予臣民—梦，既是千世万代不变不移的[永恒]。",N/A,N/A,material
20,燃愿玛瑙,5星,角色培养素材,N/A,每天,角色突破素材。为了愿望而步上巡礼，为了最强之名而云聚争斗最后为了梦在劫火中燃尽。灰烬中如果留下了最初的心，那他就达成了最初的真实。,N/A,N/A,material
21,净水之心,4星,角色培养素材,30级以上纯水精灵掉落,每天,"纯水精灵留下的永远透彻的一掬水。即使溶在了湖泊中,它的纯净也不会被稀释吧。但高洁如此的纯水精灵，又是为何渴望着地上生灵的模样，以净水模拟成生物的姿态呢，即使不需要呼吸、也不需要进食",N/A,N/A,material
22,飓风之种,4星,角色培养素材,N/A,每天,N/A,N/A,N/A,material
23,阴燃之珠,4星,角色培养素材,N/A,每天,N/A,N/A,N/A,material
24,最胜紫晶块,4星,角色培养素材,N/A,每天,"此身即是尘世最为殊胜尊贵之身。应持天下之大权。",N/A,N/A,material
25,燃愿玛瑙块,4星,角色培养素材,合成获得/60级以上爆炎树掉落/60级以上北风狼挑战奖励,每天,角色突破素材。为了愿望而步上巡礼，为了最强之名而云聚争斗最后为了梦在劫火中燃尽。,N/A,N/A,material
26,风雅的哲学,4星,天赋培养素材,合成获得/活动获得/堇色之庭精通秘境,周二/周五/周日,N/A,N/A,N/A,material
27,石化的骨片,4星,角色培养素材,普通怪物掉落/合成获得/60级以上幼岩龙蜥掉落,每天,击败幼龙蜥后有时能找到的石化骨片。幼龙蜥都梦想着成长为真正的龙。会把古老的化石认作是龙之骨而加以珍惜，或许是因为希冀着龙的永恒与强大吧。,N/A,N/A,material
28,勤劳的哲学,4星,天赋培养素材,合成获得/活动获得/太山府精通秘境:深炎之底,周二/周五/周日,"岩之国土的根基是勤劳。勤劳即为相信自己，即为相信通过汗水、智慧与力量，在诸神的土地上，人人都可以拥有自己的一席之地。",N/A,N/A,material
29,自在松石块,4星,角色培养素材,N/A,每天,"但风向是会转变的。终有一天，会吹向更有光亮的方向。",N/A,N/A,material
30,雾虚灯芯,4星,角色培养素材,普通怪物掉落/合成获得/60级以上萤术士掉落,每天,将本就罕见的雾虚草集结成的束，会散发出幽晦的冥光;提着这种灯的人，则会召来飞萤与不幸。,N/A,N/A,material
