id,name,nickname,title,gender,rarity,pool,constellation,specialCuisine,equipDate,tag,intro,label
0,埃洛伊,N/A,异界的救世主,女,5星,限定UP,诺拉勇者座,饱腹感凝胶,2021年9月1日(PS4/PS5) 10月13日(全平台),自身附魔、加攻、自身伤害提升、生物亲和、减攻,N/A,character
1,雷泽,N/A,狼少年,男,4星,常驻UP,小狼座,爪爪土豆饼,2020年09月15日,减防、冲刺消耗减少、自身伤害提升、自身抗性提高、自身抗打断、感电免疫,住在蒙德地区奔狼领，远离城市与人群，和狼一同生活的少年。直觉锐利，身姿迅捷。,character
2,琴·古恩希尔德,琴团长/琴,蒲公英骑士,女,5星,常驻UP,幼狮座,提神醒脑披萨,2020年09月15日,治疗、控制、聚怪、减抗、能量回复、攻速提升、移速提升、伤害减免、元素附着、烹饪,正直严谨的蒲公英骑士，蒙德西风骑士团的代理团长。,character
3,重云,N/A,雪融有踪,男,4星,常驻UP,乾坤锋座,山珍凉卤面,2020年09月15日,减抗、元素附魔、冷却缩减、攻速提升、派遣、自身伤害提升,驱邪世家的年轻方士，为压制自身的【纯阳之体】费尽心机。,character
4,七七,N/A,冻冻回魂夜,女,5星,常驻UP,三清铃座,没有未来菜,2020年09月15日,治疗、复活、减攻、能量回复、特产探索、自身伤害提升,药庐“不卜庐”的采药姑娘兼学徒，面色苍白如纸的不死之人。话很少，也没有什么表情。曾因“仙缘”而拥有了被凡间称作僵尸的不死之身，外表永远停留在了逝去那年，年龄不可考。,character
5,迪卢克·莱艮芬德,迪卢克/卢姥爷/卢锅巴/正义人,晨曦的暗面,男,5星,常驻UP,夜枭座,「蒙德往事」,2020年09月15日,锻造返还、自身附魔、自身伤害加成,N/A,character
6,卯香菱,香菱,万民百味,女,4星,常驻UP,长杓座,万民堂水煮鱼,2020年09月15日,加攻、减抗、伤害提升、烹饪,来自璃月，名声在外的少女厨师，对料理之道极具热情，拿手麻辣菜肴堪称一绝。,character
7,北斗,N/A,无冕的龙王,女,4星,常驻UP,南天海山座,炝炒肉片,2020年09月15日,护盾、减抗、抗打断、游泳消耗减少、弹反、自身伤害提升,武装船队【南十字】的首领，豪快的大姐头。,character
8,行秋,N/A,少年春衫薄,男,4星,常驻UP,锦织座,江湖百味,2020年09月15日,治疗、减抗、抗打断、伤害减免、元素附着、炼金返还、自身伤害提升,经常能在书摊看到的少年人。手执长剑，胸中常怀侠义之心。,character
9,空/荧,旅行者,旅行者,男/女,5星,常驻UP,旅人座,N/A,2020年09月15日,属性变换、暴击提升、能量回复、自身伤害提升、控制、减抗、自身治疗,从世界之外漂流而来的旅行者，被神带走血亲，自此踏上寻找七神之路。,character
10,刻晴,刻师傅,霆霓快雨,女,5星,常驻UP,金紫定垂座,绝境求生烤鱼,2020年09月15日,位移、能量回复、派遣、自身附魔、自身伤害提升,璃月七星之一，玉衡星。对「帝君一言而决的璃月」颇有微词——但实际上，神挺欣赏她这样的人。,character
11,班尼特,阿班,命运试金石,男,4星,常驻UP,险路座,提瓦特焦蛋,2020年09月15日,治疗、加攻、伤害提升、元素附着、元素附魔、派遣,蒙德的冒险家少年，拥有与他的善良毫不相称的霉运。,character
12,凯亚·亚尔伯里奇,凯子哥/凯亚,寒风剑士,男,4星,常驻UP,孔雀羽座,果香串烤,2020年09月15日,护盾、能量回复、冲刺消耗减少、自身治疗、技能延长、自身伤害提升,异国面容的剑斗士，西风骑士团的头脑派人物。,character
13,阿斯托洛吉斯·莫娜·梅姬斯图斯,莫娜,星天水镜,女,5星,常驻UP,映天座,至高的智慧（生活）,2020年09月15日,控制、嘲讽、伤害提升、暴击提升、炼金返还、快速移动、自身伤害提升,神秘的少女占星术士，声称自己是「伟大的占星术士莫娜」，拥有与名号相符的不俗实力，博学而高傲。,character
14,诺艾尔,女仆/高达,未授勋之花,女,4星,常驻UP,心护座,厚云朵松饼,2020年09月15日,治疗、护盾、烹饪、技能延长、自身伤害提升,「西风骑士团」的可靠女仆，梦想有天能成为正式的骑士,character
15,丽莎·敏兹,丽莎,蔷薇魔女,女,4星,常驻UP,沙漏座,魔法肉酱面,2020年09月15日,减防、炼金返还、自身抗打断,慵懒而博学的图书管理员，须弥教令院「两百年一见」的天才毕业生。,character
16,砂糖,N/A,无害甜度,女,4星,常驻UP,烧瓶座,伍玖叁式营养餐,2020年09月15日,聚怪、控制、伤害提升、精通加成、炼金返还,对万物充满好奇的炼金术士，「生物炼金」学派的研究者。,character
17,菲谢尔·冯·露弗施洛斯·那菲多特,菲谢尔/皇女/小艾咪,断罪皇女,女,4星,常驻UP,幻鸦座,祝圣交响乐,2020年09月15日,自身治疗、派遣,自称「断罪之皇女」，与名为奥兹的漆黑夜鸦同行的神秘少女,character
18,凝光,N/A,掩月天权,女,4星,常驻UP,玑衡仪座,乾坤摩拉肉,2020年09月15日,抗性提升、伤害提升、矿物探查,「璃月七星」中的「天权」，其名下财富之多，全大陆鲜有人能望其项背,character
19,可莉,N/A,逃跑的太阳,女,5星,限定UP,四叶草座,鱼香吐司,2020年10月20日,减防、能量回复、伤害提升、特产探索,西风骑士团禁闭室的常客，蒙德的爆破大师。人称「逃跑的太阳」。,character
20,荒泷一斗,一斗,花坂豪快,男,5星,限定UP,天牛座,N/A,2020年11月24日,N/A,精神小伙,character
21,巴巴托斯,温迪/吟游诗人/卖唱的,风色诗人,男,5星,限定UP,歌仙座,真·风神杂烩菜,2020年09月28日,控制、聚怪、减抗、能量回复、滑翔消耗减少、自身伤害提升,蒙德城诸多吟游诗人中的一位，自由自在地穿行在街头巷尾,character
